"country","capacity_mw","latitude","longitude","commissioning_year","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","primary_fuelBiomass","primary_fuelCoal","primary_fuelCogeneration","primary_fuelGas","primary_fuelGeothermal","primary_fuelHydro","primary_fuelNuclear","primary_fuelOil","primary_fuelOther","primary_fuelPetcoke","primary_fuelSolar","primary_fuelStorage","primary_fuelWaste","primary_fuelWave.and.Tidal","primary_fuelWind"
44,465,35.7835,0.5407,2010,547.522,316.298021,112.302,138.3,98.33585,0,701.466004,2015.07,1500.53,1150.43,1500.57,1941.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,484,36.1399,2.9296,2007,344.842,249.851,390.789,612.344,465.3615,717.6397222,499.588,2319.01,2230.55,2145.34,2434.84,2020.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,815,36.8789,6.9366,2006,1549.131944,1064.462046,27.36,723.5783333,878.567,1.737,18.748,3000.67,3252.67,3067.35,2044.7,3403.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,150,32.9475,3.238,2011,0,29.019,0,39.046,49.392,73.943,206.759,628.67,652.64,744.52,608.81,626.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,262,36.88,6.935,1975,153.199,228.345,397.477,414.421,338.514,507.799999,92.785,697.12,983.74,982.04,949.55,1093.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,13,22.849,5.45,1999,0.16495,0.076,37.928,0,28.254,0.04,8.232,4.52,29.5,30.21,29.73,30.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,1200,35.4608,-1.2295,2013,6251.809444,2321.6,2604.711,4414.854952,245.83789,1192.592,2101.742,4102.81,5465.71,3882.48,6154.83,5010.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,300,35.3396,1.3562,2010,22.348,77.942,96.305,189.393004,121.99,300.265,490.048,1280.52,1284.33,1323.55,1001.46,1252.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,600,33.1377,3.3678,2016,639.069,168.8372222,205.01975,945.5577778,2101.814,1596.42324,1240.303,2748.07,2497.04,2955.26,2171.01,2505.32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,9,29.22,0.223,2006,0,0.49,24.993,0,37.74627,1.398,27.576936,5.31,16.23,15.86,16.16,15.97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,9,27.752,-8.154,2013,13.429,6.76,0,2.431,40.027,6.288,36.014,6.94,17.12,15.83,15.98,15.47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,12,34.692,-0.601,2011,26.165,0.429,0,3.549,82.42,1.381,48.338,5.84,22.61,22.44,22.98,22.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,6,27.241,-0.174,2015,9.861,0.122,0,1.938,22.11,0.067,9.305,9.02,10.49,10.43,10.41,10.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
