country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
AGO,58,-8.8383,13.2344,Oil,1980,0,16.78838,0.219,27,59.103,2.088611111,54.97,17.16,173.98,161.33,57.96,165.16
AGO,18.5,-8.8383,13.2344,Oil,1980,18.0226,-0.216,0.026,23.83025,110.915,44.262,62.059,32.5,74.55,84.06,80.27,52.68
AGO,10,-5.55,12.2,Oil,1998,9.19926,179.6044444,64.988,32.305,102.13,21.912,9.512,42.93,56.83,68.22,81.59,28.47
AGO,40,-14.7333,15.0333,Hydro,2008,2.817,189.810005,140.995,338,308.425,327.747009,467.397,165.92,138.23,128.15,152.57,125.42
AGO,11.68,-15.1961,12.1522,Gas,1980,1097.993002,70.386,365.07,13.931,290.156999,83.002,198.228,17.54,36.64,21.73,17.86,0
AGO,16,-7.3,20.85,Hydro,1974,0,1.571,22.268,7.94,18.807,0.097,116.169,79.25,66.06,67.94,82.2,66.01
AGO,11.34,-15.3333,15,Oil,1978,46.428,12.193,14.59,30.631,60.97527778,17.518,2.739,14.14,18.07,32.27,46.43,32.29
ATA,6.6,-77.847,166.6605,Oil,1981,14.18625,48.875,17.416,0,81.145,1.91,195.430539,38.27,2.28,16.14,181.99,26.39
ATA,1,-77.8428,166.7271,Wind,1996,16.403,35.544,-0.818,0,39.053,0.33,180.635,12.23,17.97,8.84,131.74,90.92
ARG,479.2,-38.9368,-68.3556,Other,1997,1097.993002,468.79,525.913,8.955,68.204,-0.21,701.217,395.84,384.28,562.38,858.32,0
ARG,192,-38.9368,-68.3556,Gas,1994,241.557,204.361001,70.266,477.206004,291.459,435.182,573.875,963.95,983.74,1121.1,871.73,1075.39
