country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
DZA,815,36.8789,6.9366,Gas,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3403.06
DZA,150,32.9475,3.238,Gas,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.33
DZA,262,36.88,6.935,Gas,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.99
DZA,13,22.849,5.45,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,30.21,29.73,30.32
DZA,1200,35.4608,-1.2295,Gas,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5010.64
DZA,300,35.3396,1.3562,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1252.66
DZA,200,33.1319,3.348,Gas,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835.1
DZA,600,33.1377,3.3678,Gas,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2505.32
DZA,9,29.22,0.223,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.23,15.86,16.16,15.97
DZA,9,27.752,-8.154,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12,15.83,15.98,15.47
DZA,12,34.692,-0.601,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.61,22.44,22.98,22.83
DZA,6,27.241,-0.174,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.49,10.43,10.41,10.57
AGO,22.8,-12.4706,13.7319,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.92
AGO,14.6,-12.4706,13.7319,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,60.76,50.79,49.87,80.7,48.53
